,id,betweenness,clustering,parlamentares,success,gender
44,2143,0.011184237863856706,0.8525252525252526,0.19117647058823528,0.9010989010989011,0
45,2144,0.002087115910763881,0.9334038054968288,0.19117647058823528,0.9253731343283582,1
46,2145,1.1597026522399656e-05,0.9818181818181818,0.07352941176470588,0.7299465240641712,1
47,2146,0.002722885482633337,0.9175475687103594,0.029411764705882353,0.8952380952380953,1
48,2147,0.0015152493364504135,0.9262626262626262,0.058823529411764705,0.9362745098039216,1
49,2148,0.00038720057497341955,0.9636363636363636,0.058823529411764705,0.3333333333333333,0
50,2149,0.00016654701410868833,0.9893048128342246,0.19117647058823528,0.9043478260869565,1
51,2150,0.0030168601176448293,0.912262156448203,0.058823529411764705,0.9111747851002865,1
52,2151,0.0006267626815680498,0.9512735326688815,0.029411764705882353,0.9274924471299094,1
53,2152,0.0008868446081335062,0.9460887949260042,0.058823529411764705,0.9352750809061489,1
54,2153,0.0008868446081335062,0.9460887949260042,0.058823529411764705,0.9129129129129129,1
55,2154,0.0025419684064328894,0.928030303030303,0.058823529411764705,0.842741935483871,1
56,2155,0.0005621284061618274,0.9456521739130435,0.029411764705882353,0.788659793814433,0
57,2156,0.0036958853810007877,0.9271255060728745,0.058823529411764705,0.8141891891891891,1
58,2158,0.001292780761944587,0.9365750528541226,0.04411764705882353,0.9368770764119602,1
59,2159,0.0008868446081335062,0.9460887949260042,0.19117647058823528,0.91,0
60,2160,0.005192781188701216,0.881159420289855,0.19117647058823528,0.914364640883978,1
61,2161,0.004074439635276994,0.8948717948717949,0.029411764705882353,0.8888888888888888,1
62,2166,0.11157325904928504,0.8,0.058823529411764705,0.5,0
63,2174,0.05270154550811749,0.5604395604395604,0.029411764705882353,0.717948717948718,1
64,2180,0.0,1.0,0.14705882352941177,0.3333333333333333,1
65,2185,0.05102466830583323,0.7727272727272727,0.058823529411764705,0.5327868852459017,1
66,2186,0.0035838542264810605,0.9158536585365854,0.19117647058823528,0.9821428571428571,1
67,2203,0.0,0.0,0.029411764705882353,0.16666666666666666,1
